id,raw_text,canonical_transliterated,translation,silver_label,silver_confidence,claude-opus-4-8_label,claude-opus-4-8_confidence,claude-opus-4-8_rationale,gemini-31-pro_label,gemini-31-pro_confidence,gemini-31-pro_rationale,gemini-35-flash_label,gemini-35-flash_confidence,gemini-35-flash_rationale,adjudicator_decision,adjudicator_notes
4065,----------m--us,----------m--us,mrs-larthimrs-tavulineissons-wife,funerary,medium,funerary,medium,"The raw text is heavily fragmentary, but the translation glosses supply kinship formulas ('Larthi...', 'Tavulineis son's wife'), which are diagnostic sepulchral parentage/spousal formulas per rule 1 of the decision tree. The presence of a wife-of/son-of kinship chain naming the deceased strongly indicates a funerary urn/sarcophagus inscription.",unsure,high,"The inscription is heavily fragmentary (raw text '----------m--us') with an intact-token ratio near zero, triggering the edge-case rule for adjudication. Although the translation reconstructs a kinship formula ('son's wife') which would typically indicate a funerary class under branch 1, the find-context is unknown and the visible text itself does not contain the discriminating formula.",unsure,high,"The inscription is heavily fragmentary with an intact-token ratio well below 0.5, preserving only '----------m--us'. According to the 'Edge cases and unsure' section of the codebook, inscriptions that are highly fragmentary and lack a visible discriminating verb or formula in the transliterated text must be marked as unsure, despite any reconstructed translation metadata.",,
5037,suthi,suθi,imr-larecezuchusmrmutus,funerary,high,unsure,low,"The text is the single word 'suθi' ('tomb'), which strongly suggests a sepulchral context, but there is no personal name and no kinship or death formula, so decision-tree rule 1 is not satisfied. The translation field appears garbled/uninterpretable and the object type/findspot is 'other', leaving insufficient discriminating evidence; per the edge-case rule for single-word fragments lacking a formula, this routes to adjudication.",unsure,high,"The text consists solely of the word 'suθi' (tomb). While this strongly suggests a sepulchral context, Branch 1 of the decision tree explicitly requires a personal name and a kinship/death formula. Since the find-context is also unknown (source tag 'other') and the text lacks the necessary discriminating formulas, it must be routed to the adjudication queue.",funerary,medium,"The inscription consists of the single word 'suθi', which is the Etruscan noun for 'tomb' or 'grave'. Although it lacks a personal name and kinship formula, the lexical item itself is exclusively diagnostic of a sepulchral context, satisfying the funerary class under the spirit of Step 1 of the decision tree.",,
5092,lupuce,lupuce,,funerary,high,unsure,medium,"The text 'lupuce' is the verb 'died' (from lup-), commonly associated with funerary contexts, but it appears in isolation without any personal name, kinship formula, or sepulchral find-context to confirm rule 1. With no discriminating name or object metadata, the text alone permits multiple readings and is too fragmentary in context to place confidently, so it routes to adjudication.",funerary,medium,"The inscription consists of the single verb 'lupuce' ('died'). Although the object context and personal name are missing, 'lupuce' is a highly discriminating verb that acts as a definitive death formula, satisfying the textual requirement for the funerary class under rule 1.",funerary,high,"The inscription consists of the verb 'lupuce', which is the third-person preterit meaning 'died' or 'has died'. This is the standard, highly diagnostic Etruscan funerary verb used to record the death of an individual on tombs, urns, or sarcophagi, satisfying the death-formula requirement of Rule 1.",,
5315,fathlial(u)s ravnthu(s) thunz,faθlial(u)s ravnθu(s) θunz,mr-tute-larth--andhewas-containedby-mr-tuteby-mrs-arnthi--deadof-yearsof-twoofeighty,funerary,medium,funerary,medium,"The text contains personal names in the genitive (faθlials, ravnθus) and the translation references death and an age formula ('deadof-yearsof-twoofeighty'), matching the funerary kinship/death-age pattern of decision-tree rule 1. Although the object context is tagged 'other', the presence of an age-at-death formula is a strong sepulchral indicator.",unsure,high,"The canonical transliteration consists almost entirely of a personal name (Ravnthu Fathlial) and a numeral adverb (thunz), lacking any diagnostic verbs or formulas. The find context is unknown ('other'), and the provided English translation is misaligned with the Etruscan text (containing funerary vocabulary absent from the transliteration). Therefore, it matches the codebook's edge case for texts that are merely personal names without context.",funerary,high,"The inscription contains the female personal name 'ravnθu(s)' (Ravnthu) combined with the metronymic kinship formula 'faθlial(u)s' (daughter of Fathlia). The provided translation also references an age-at-death formula ('deadof-yearsof-twoofeighty'), which is highly characteristic of Etruscan funerary epitaphs.",,
5459,svalce,svalce,mr-arnthmr-apunasvel,funerary,high,unsure,low,"The text 'svalce' is the verb 'lived' (svalce), typically appearing in age/biographical formulas ('avils X svalce') common in funerary contexts, but here it stands alone without a personal name, kinship term, or clear find-context. Per the edge-case rule, a single word lacking a discriminating name or formula and with unknown find-context routes to adjudication; no decision-tree branch matches confidently.",funerary,medium,"The text contains the verb 'svalce' ('lived'), which is a highly diagnostic death/life formula used on sepulchral inscriptions to record the age of the deceased. Additionally, the provided translation indicates the presence of personal names (Arnth, Apunas, Vel), satisfying the branch 1 criteria for a funerary classification.",funerary,medium,"The text contains the verb 'svalce' ('lived'), which is a highly diagnostic biographical/death formula (equivalent to Latin 'vixit') used in Etruscan epitaphs to state the age of the deceased. Under Step 1 of the decision tree, this verb uniquely places the inscription within the funerary class.",,
637,capznasa,capznasa,mr-larthiamrs-vipineismr-capznas-daughters-husband,funerary,medium,funerary,medium,"The translation reveals a dense kinship chain ('Larthia... Vipinei... Capznas-daughter's-husband'), which is the diagnostic parentage/marriage formula typical of tomb and urn inscriptions per rule 1 of the decision tree. Although the raw text is a single gentilicial name and the source tag is 'other', the multi-generational kinship structure strongly leans sepulchral rather than possessive.",unsure,high,The inscription consists of a single personal name with a kinship suffix ('capznasa') but lacks any identifiable object type or findspot context (source tag 'other'). The codebook's edge cases explicitly dictate that a single personal name with no context must be marked 'unsure' and routed to the adjudication queue.,unsure,high,"The inscription consists of a single word 'capznasa', which is a personal/family name with a marriage/possessive suffix (-sa). Because no object type, findspot, or broader context is provided, this falls under the explicit codebook instruction to mark single personal names without context as unsure.",,
7044,rseiantialisa,rseiantialisa,mrs-titimr-vescuniasmrs-seiantis-sonswife,funerary,medium,funerary,medium,"The translation reveals a kinship formula naming a woman as wife and identifying her by parentage ('Titi Vescunias, wife of the son of Seiantis'), which matches the deceased-with-kinship pattern of rule 1. Such genitive kinship strings (rseiantialisa = 'of-Seiantis') on named individuals are characteristic of urn/tomb inscriptions rather than portable-object ownership.",unsure,high,"The inscription consists of a single isolated word containing a personal name and a kinship suffix ('seiantialisa', translated involving 'sonswife'). Because the object type and find-spot are unknown (source tag 'other'), it fails Step 1 of the decision tree, which requires a known sepulchral object. Following the edge-case rules, a single personal name with no context must be routed to adjudication.",funerary,medium,"The inscription contains a personal name 'r[amtha]' followed by the highly specific Etruscan marriage/kinship formula 'seiantialisa' (meaning 'wife of the son of Seianti', using the -al-isa suffix). Such complex kinship/marital formulas are diagnostic of funerary contexts, typically appearing on sarcophagi or cinerary urns.",,
7045,calisne puial{--------},calisne puial{--------},mr-taniacalisnefor-his-wifes,funerary,medium,unsure,low,"The text 'calisne puial{--------}' is heavily fragmentary (large lacuna) and contains a personal name (calisne) plus 'puial' (genitive of puia, 'wife'), which could suggest a kinship formula consistent with funerary use. However, the source tag is 'other' with no confirmed sepulchral find-context and no death-age or clan formula visible, so rule 1 cannot be confidently applied; the fragment fails the discriminating-feature test and routes to adjudication.",funerary,medium,"The inscription contains a personal name ('calisne') followed by the kinship term 'puial' (genitive/pertinentive of 'puia', meaning 'wife'). While the explicit object type is unknown ('other'), kinship formulas are the primary diagnostic indicator for funerary texts under Step 1 of the decision tree, strongly suggesting a sepulchral context.",funerary,medium,"The inscription contains the personal/family name 'calisne' followed by 'puial', the genitive of 'puia' ('wife'), which constitutes a kinship formula. This fits Step 1 of the decision tree, as kinship formulas of this type are highly diagnostic of funerary epitaphs.",,
7218,suthina,suθina,something-for-the-afterlife,funerary,high,funerary,medium,"The word 'suθina' is the standard Etruscan term marking an object as grave-goods intended for/belonging to the tomb (literally 'for the afterlife'), which is a sepulchral marker per decision-tree rule 1 and tie-breaking rule 1 (grave-context is decisive). Although it lacks an explicit personal name or kinship formula, 'suθina' itself is a diagnostic funerary formula.",unsure,high,"The inscription consists solely of the word 'suθina' ('something-for-the-afterlife'). While this vocabulary is inherently sepulchral, the text lacks the personal name required to satisfy Branch 1 ('grave-good with a personal name AND a kinship/death formula'). As it fails all subsequent branches, it must be routed to adjudication.",unsure,high,"The inscription consists solely of the word 'suθina' ('belonging to the tomb/grave'). While this is a highly diagnostic ritual adjective designating an object as a grave-good, it lacks a personal name and a kinship/death formula as strictly required by Step 1 of the decision tree, forcing an 'unsure' classification for human adjudication.",,
7803,atial zilcti,atial zilcti,----------cof-his-motherin-hismagistracy-as-headmanof-littletarquiniaof-the-townfasci,funerary,high,unsure,low,"The text 'atial zilcti' contains 'atial' (genitive, 'of the mother') and 'zilcti' (locative of the magistracy term 'zilc/zilaθ'), but no verb of giving, no kinship+death formula naming a deceased, no 'mi'+genitive ownership formula, no boundary vocabulary, and no clear contractual or commercial content. The fragment is too short and lacks a discriminating formula to place it confidently in any branch of the decision tree, so per the edge-case rule it routes to adjudication.",unsure,high,"The text contains a maternal kinship term ('atial') and a magisterial term in the locative ('zilcti'), which could belong to a funerary cursus honorum or serve as a dating formula on a legal/public document. Because the find-context is unknown and the fragment lacks a discriminating verb or complete formula, it permits multiple readings and must be routed to adjudication.",funerary,medium,"The inscription contains the kinship term 'atial' (genitive of 'ati', mother) and the magistracy locative 'zilcti' (during the presidency/zilc-ship). These formulas are highly diagnostic of elite Etruscan funerary epitaphs detailing the parentage and career (cursus honorum) of the deceased.",,
873,svdernia ar(rvntis),svdernia ar(rvntis),suderniamr-arrunssdaughter,funerary,medium,funerary,medium,"The text is a personal name 'svdernia' with a patronymic/kinship genitive '(arruntis)' — the translation indicates 'daughter of Arruns', a filiation formula typical of tomb/urn inscriptions (rule 1). While no explicit death word appears, the female name plus kinship genitive matches funerary naming patterns like 'larθia spurinas larisal puia'.",unsure,high,"The find-context and object type are unknown ('other'), which prevents confidently assigning 'funerary' (Rule 1) or 'ownership' (Rule 5) based on the text alone. Furthermore, the abbreviation 'ar(rvntis)' uses a Latin genitive, suggesting the text may be in Latin rather than Etruscan, which explicitly triggers an 'unsure' routing for adjudication.",unsure,high,"The text contains only a personal name with a patronymic genitive ('svdernia ar(rvntis)' meaning Sudernia, daughter of Arruns) with no archaeological or object context specified (source tag is 'other'). According to the codebook, inscriptions consisting of a single personal name with no context must be marked 'unsure'.",,
9257,suthina,suθina,,funerary,high,funerary,medium,"The word 'suθina' is the standard Etruscan term marking an object as grave-goods destined for the tomb ('for the grave'), a diagnostic funerary marker per rule 1 of the decision tree. Although no personal name or kinship formula is present, the term itself unambiguously signals sepulchral function, which under tie-breaking rule 1 (funerary trumps) governs the classification.",unsure,high,"The text consists solely of the word 'suθina' ('belonging to the tomb'). Although this word strongly implies a grave-good context, Rule 1 of the decision tree strictly requires a personal name and a kinship/death formula to assign the 'funerary' label. Lacking these elements and any specified findspot, the inscription falls through all branches (Rules 1-8) and must be marked 'unsure' for human adjudication.",funerary,high,"The word 'suθina' is a highly diagnostic Etruscan funerary adjective meaning 'belonging to the tomb' or 'sepulchral'. Its presence on an object explicitly designates it as a grave-good, satisfying the funerary/death formula criterion of Step 1.",,
AS 1.40,[m]i lariśa feleśkenaσ' am[---],[m]i lariśa feleśkenaσ' am[---],I (am the cippus) of Larish Feleshkena...,funerary,high,unsure,low,"The text follows a 'mi + genitive personal name' pattern ('mi lariśa feleśkenaσ') which suggests ownership (branch 5), but the translation gloss reconstructs the object as a cippus, and the fragmentary trailing 'am[---]' could be a verb (e.g. 'ame') that changes the reading. Because the object class is unresolved (a cippus would point toward boundary per tie-break rule 2) and the inscription is broken (intact-token ratio uncertain, discriminating final element lost), the evidence is insufficient for a confident label.",unsure,high,"The inscription features a 'mi' + personal name possessive formula, but the text is fragmentary ('am[---]') and lacks a decisive verb. Although the translation implies the object is a cippus, there is no explicit kinship formula (to satisfy branch 1 for funerary) or boundary vocabulary like 'tular' (branch 6). The fragmentary nature and potential multiple readings route this to the adjudication queue.",ownership,medium,"The text contains the first-person pronoun '[m]i' followed by a personal name in the genitive ('lariśa feleśkenaσ'') and a form of the copula 'am[---]' (to be). It lacks a kinship or death formula to trigger the funerary class under Rule 1, thus falling into the 'mi' + genitive possessive pattern of Rule 5.",,
CIE 2847,A𐌋VCIƆ ЭЭM.𐌋I.IЭNI+ЭT.Я𐌋A8,fasti·tetinei·ps·sec | cicusa,,funerary,high,unsure,low,"The text 'fasti·tetinei·ps·sec | cicusa' contains a female praenomen (Fasti) and a gentilicial (Tetinei), consistent with a naming formula, but there is no explicit kinship/death formula, no verb of giving, no 'mi'+genitive possessive, no tular vocabulary, and no quantity. With no findspot metadata or translation, the object class cannot be confirmed as sepulchral, so decision-tree rule 1 cannot be triggered with confidence and no later branch matches cleanly.",funerary,high,"The inscription contains a female personal name ('fasti tetinei') followed by the explicit kinship term 'sec' (daughter). Following Step 1 of the decision tree, this parentage formula is the standard diagnostic marker for identifying the deceased on funerary monuments such as urns or tiles.",funerary,high,"The inscription contains the feminine personal name 'fasti tetinei' accompanied by the kinship term 'sec' (representing 'seχ', meaning 'daughter'). This satisfies Rule 1 of the decision tree as it contains a personal name with an explicit kinship formula typical of Etruscan epitaphs.",,
ETP 213,[mi] aranθia lapanas,[mi] aranθia lapanas,I (am the tomb) of Aranth Lapanas.,funerary,high,unsure,low,"The text is 'mi' + genitive of a personal name (aranθia lapanas), which by rule 5 would suggest ownership; however, the reconstructed translation supplies '(am the tomb) of' which would make it funerary under rule 1. Since 'mi' is bracketed (reconstructed) and no explicit object/find-context, kinship formula, or 'suthi/tomb' word is actually present in the text, the discriminating evidence is missing and the reading is ambiguous.",funerary,medium,"The translation explicitly identifies the object as a tomb ('I (am the tomb) of Aranth Lapanas'), indicating a sepulchral find-context. Although the text consists of a 'mi' + genitive formula which typically points to ownership (Rule 5), Tie-breaking Rule 1 dictates that a funerary find-context trumps ownership formulas.",unsure,high,"The text contains a restored '[mi]' followed by a personal name in the genitive, which matches the ownership formula in Step 5. However, the provided translation interpolates 'I (am the tomb) of...', suggesting a sepulchral context, but we lack the metadata defining the physical object type (e.g., tomb wall, tile, or portable vessel) required to apply the Tie-breaking Rule 1 (Object > Text) or Step 1. Therefore, the lack of find-context and object metadata makes it impossible to securely distinguish between 'ownership' and 'funerary'.",,
ETP 214,mi aveles metienas,mi aveles metienas,I (am the tomb) of Avele Metienas.,funerary,high,unsure,medium,"The bare text 'mi + genitive personal name' matches the ownership formula (tree step 5), which would yield 'ownership'. However, the provided translation supplies '(am the tomb) of', implying a sepulchral context that would trigger rule 1 (funerary trumps ownership); since no object type or findspot is given in the metadata, the discriminating context cannot be confirmed and the row routes to adjudication.",funerary,high,"Although the raw text 'mi aveles metienas' consists solely of 'mi' plus a personal name in the genitive (typically signaling ownership), the translation explicitly identifies the context as a tomb. According to tie-breaking rule 1, an unambiguously sepulchral find-context combined with the deceased's name strictly overrides the ownership formula, making this a funerary inscription.",ownership,high,"The text consists of the pronoun 'mi' (I) followed by the genitive of a personal name ('aveles metienas', of Avele Metiena) with no other substantive vocabulary. This satisfies Step 5 of the decision tree for an ownership/possessive formula.",,
ETP 333,larθ laucies θamequ larecesi ka iseriθesi celeniarasi mini zinece veθur kam arteθi,larθ laucies θamequ larecesi ka iseriθesi celeniarasi mini zinece veθur kam arteθi,"Larth Laucies (was) θamequ by (his) sons, Larece (and) Kaiserithe. Ve(l)thur made me in Kamarta.",funerary,medium,ownership,medium,"The text contains the maker-formula 'mini zinece veθur' ('Vethur made me'), a signature/maker-mark on a portable object, which matches decision-tree branch 5 (maker-mark). The verb 'zinece' is a verb of making/producing, not a verb of giving (tur-/mulu-/cer-) to a deity or higher-status recipient, so branch 2 (dedicatory/votive) does not apply, and there is no sepulchral kinship/death formula naming a deceased on a tomb object that would satisfy rule 1.",unsure,high,"The text contains a kinship reference ('by his sons', celeniarasi) suggesting a funerary context (Step 1), but also a maker's mark ('mini zinece', made me) pointing towards ownership (Step 5). Because the object type and findspot are missing from the metadata, the text alone permits multiple readings, requiring human adjudication.",ownership,high,"The text is inscribed on a portable ceramic vessel (kyathos) and contains a clear maker-mark formula 'mini zinece veθur' ('Velthur made me'). Under Step 5 of the decision tree, portable utensils with maker-marks are classified as ownership.",,
ETP 334,hasti : velθuria : lautni θa,hasti velθuria lautni θa,"Hasti Velthuria, freedwoman",funerary,high,unsure,low,"The text names an individual (Hasti Velthuria) with the status term 'lautni' (freed person), but contains no kinship/death formula, no giving verb, no possessive 'mi' formula, no boundary vocabulary, and no explicit contractual/manumission structure — only a status descriptor. Without a known sepulchral find-context the decision tree does not confidently match branch 1 (funerary) or branch 7 (legal/manumission), so it routes to adjudication per the 'single personal name / ambiguous context' rule.",funerary,medium,"The inscription triggers Branch 1 of the decision tree because it contains a personal name ('Hasti Velthuria') paired with the status/kinship marker 'lautnitha' (freedwoman). Although the physical object type is not provided in the metadata, a bare nominative formula combining a name and a societal status—lacking verbs or possessive pronouns—is highly diagnostic of a funerary epitaph identifying the deceased.",funerary,high,"The inscription consists of a personal name ('hasti velθuria') followed by a social status/dependency formula ('lautni θa', meaning 'freedwoman of [Th...]'). This is a classic formula for funerary epitaphs designating the deceased, satisfying Step 1 of the decision tree.",,
ETP 43,mi lauχumeśa katilaσ',mi lauχumeśa katilaσ',I (am) the (cippus) of Laukhume Katila.,funerary,high,ownership,medium,"The text is the classic 'mi' + genitive of a personal name formula ('mi lauχumeśa katilaσ' = 'I am of Laukhume Katila'), with no verb of giving, kinship/death formula, or boundary vocabulary (tular). By decision-tree step 5, a 'mi' + genitive possessive with no other substantive content resolves to ownership.",unsure,high,"The text consists of 'mi' plus the genitive of a personal name ('mi lauχumeśa katilaσ'), which natively triggers the ownership branch (Rule 5). However, the translation interpolates '(cippus)', indicating the object is a stone marker. Under the tie-breaking rules, a cippus could be a funerary monument or a boundary marker. Since the actual find-context is unprovided and the text permits multiple functional readings depending on that context, it must be routed to adjudication.",ownership,medium,"The text strictly follows the 'mi' + genitive of a personal name formula ('I am of Laukhume Katila') with no other substantive lexical elements, matching Step 5 of the decision tree. While the translation's restoration of 'cippus' suggests a stone monument that could serve a funerary or boundary purpose, the lack of kinship terms, death formulas, or boundary vocabulary (like 'tular') makes ownership the most direct formal classification.",,
Pe 1.219,l • eucle • φisis • lavtni,l • eucle • φisis • lavtni,"Larth Eucle, freedman of Phisi",funerary,high,unsure,low,"The text names an individual 'Larth Eucle' with the term 'lavtni' (freedman/member of a family), indicating status derived from manumission, but there is no verb of giving, no vow language, no boundary vocabulary, no tular, and no explicit contractual/sale structure to satisfy the legal branch, nor a clear sepulchral find-context or kinship-death formula to trigger rule 1. With only a name plus a status term and no discriminating verb or formula, the decision tree falls through to step 8 without a positive quantity/trade match, so it routes to adjudication.",funerary,high,"The inscription consists entirely of a personal name ('Larth Eucle') followed by a relationship/status formula ('φisis lavtni', meaning 'freedman of Phisi'). Under rule 1 of the decision tree, this name-plus-affiliation structure is the standard funerary formula identifying the deceased, typical of cinerary urns from Perugia.",funerary,high,"The inscription contains a personal name ('l • eucle') and a social relationship/status formula ('φisis • lavtni', meaning 'freedman of Phisi'). The 'Pe 1' prefix in the Rix ET system indicates a sepulchral (funerary) monument from Perugia, satisfying Step 1 of the decision tree.",,
Vs 1.120,[mi ma]marces apenas qutus,[mi ma]marces apenas qutus,I (am the tomb) of Marce Apenas Qutu.,funerary,high,funerary,medium,"The reconstructed translation supplies '(am the tomb) of', indicating a sepulchral context with a personal name in the genitive (mamarces apenas qutus), matching rule 1 of the decision tree (tomb object + personal name). Though the surviving text is a 'mi' + genitive formula that alone could read as ownership, the tie-breaking rule 1 states funerary find-context is decisive over an ownership-like formula.",unsure,high,"The inscription uses the 'mi' + genitive formula ('mamarces apenas'), which normally triggers Rule 5 (ownership), and 'qutus' often refers to a vessel (pitcher). However, the provided translation interprets 'qutus' as a cognomen and interpolates '(am the tomb)', suggesting a sepulchral context that would override to funerary via Tie-breaker 1. Because explicit object metadata is missing, the find-context is unknown and the text alone permits conflicting readings, requiring human adjudication.",ownership,medium,"The inscription contains the standard speaking-object/possessive formula '[mi]' followed by a personal name in the genitive ('mamarces apenas'). The word 'qutus' refers to the container type (kothon/vessel). Because it lacks any kinship or death formulas, it falls under Rule 5 (ownership) rather than funerary.",,
Vs 1.55,mi aranθia flavienas,mi aranθia flavienas,I (am the tomb) of Aranth Flavienas,funerary,high,unsure,medium,"The text 'mi aranθia flavienas' is a 'mi' + genitive personal-name formula with no verb, which by rule 5 would suggest ownership. However, the supplied translation reconstructs '(the tomb)', implying a sepulchral context that would trigger rule 1 (funerary) via tie-breaking rule 1. Because the find-context/object type is not attested in the metadata and the reconstruction is bracketed/conjectural, the discriminating feature cannot be confirmed, so the row routes to adjudication.",funerary,high,"The inscription consists of 'mi' followed by a personal name (praenomen and nomen), which typically triggers the ownership branch. However, the translation explicitly indicates a tomb context ('I am the tomb of...'), meaning Tie-breaking Rule 1 applies: funerary find-contexts override the standard 'mi' ownership formula.",funerary,high,"The inscription Vs 1.55 is carved on a tomb facade block in the Crocifisso del Tufo necropolis (Volsinii), as indicated by its Rix classification (Vs 1 series = Grabinschriften). Although the text uses the 'mi' + genitive formula (which usually triggers 'ownership' at Step 5), Tie-breaking Rule 1 dictates that the sepulchral context of a tomb facade trumps ownership.",,
5430,amce,amce,of-mr-larispulenasonof-mr-larcegrandfatherof-ms-larthis,legal,high,unsure,low,"The raw text is a single verb form 'amce' ('was/is'), with no personal name, kinship formula, giving-verb, or object context visible. The mismatched translation contains a long kinship chain but the actual inscription token permits no discriminating feature, so no decision-tree branch (1-8) matches confidently. Per the edge-case rule for fragmentary/context-poor text lacking a discriminating formula, this routes to adjudication.",funerary,high,"The provided translation explicitly contains a complex kinship formula ('son of Mr. Larce, grandfather of Ms. Larthis') and personal names (Laris Pulena). This directly satisfies branch 1 of the decision tree for funerary inscriptions, which feature parentage and kinship formulas, despite the raw text field only displaying the single token 'amce' (was).",unsure,high,"The inscription contains only the single word 'amce' ('was'), which is the preterite of the verb 'to be'. Without any accompanying personal names, kinship terms, or dedicatory vocabulary in the transliteration, it is impossible to classify. Furthermore, there is a severe mismatch between the short text 'amce' and the long English translation provided in the metadata, indicating a fragmentary or corrupted entry.",,
CIE 471,mi:uniol.I curtun,mi:uniol.I curtun,,ownership,medium,ownership,low,"The text opens with the possessive formula 'mi' + what appears to be a genitive ('uniol'), with no verb of giving (tur-/mulu-/cana), triggering branch 5 (mi + genitive → ownership). However, 'uniol' may reference the deity Uni, and 'curtun' likely names Cortona, which raises the possibility of a votive/dedicatory reading; without a giving-verb or clear sanctuary findspot, the tree defaults to ownership under branch 5.",unsure,high,"The text features the first-person pronoun 'mi' followed by a genitive-like form ('uniol') and a toponym or noun ('curtun'), but lacks an explicit verb or find-context metadata. Because 'uniol' could represent a personal name (suggesting ownership) or the deity Uni (suggesting a dedicatory or votive function), the text alone permits multiple readings and is therefore routed to adjudication.",unsure,medium,"The text reads 'mi uniol curtun' ('I am of Uni of Cortona'), indicating sacred ownership of the goddess Uni at Cortona. It fails Step 5 of the decision tree because it contains a deity name and a toponym ('curtun') rather than 'nothing else substantive' besides a personal name, but lacks any verb of giving or explicit vow formula to satisfy the 'dedicatory' or 'votive' branches.",,
CIE 50,ΘMΘLSAΘIM ΘIΘSΘ in parte dextra in parte sinistra mi leasies e. .s sp.,ΘMΘLSAΘIM ΘIΘSΘ in parte dextra in parte sinistra mi leasies e. .s sp.,,ownership,low,unsure,low,"The text is heavily corrupted and partly editorial (Latin apparatus 'in parte dextra/sinistra') with a fragmentary 'mi leasies' formula whose remainder (e. .s sp.) is illegible. While 'mi + name' suggests decision-tree branch 5 (ownership), the intact-token ratio is well below 0.5 and no discriminating verb or formula is visible, so per the edge-case rule this routes to adjudication.",ownership,medium,"The text contains the classic Etruscan possessive formula 'mi' + a personal name in the genitive ('leasies'). Following rule 5 of the decision tree, and lacking explicit sepulchral findspot data or kinship formulas that would override it to funerary, this defaults to an ownership inscription.",ownership,medium,"The Etruscan portion of the text contains the classic first-person possessive formula 'mi leasies' ('I [am] of Leasie'), matching Step 5 of the decision tree. The Latin phrases 'in parte dextra' and 'in parte sinistra' are modern editorial notes from the CIE describing the layout, not part of the ancient inscription.",,
ETP 15,[cav]aθas mi seχis ein men[p]e kape mi nunaχ,[cav]aθas mi seχis ein men[p]e kape mi nunaχ,"I (am the skyphos) of Cavatha, the daughter. Don't take me. I am nunax.",ownership,high,votive,medium,"The theonym Cavatha (a chthonic deity) as the genitive owner/recipient plus the formula 'nunax' (a sacred/votive term associated with consecration) and the apotropaic 'ein menpe kape' ('do not take me') point to a consecrated offering rather than a simple possessive. Under decision-tree steps 2-3, the dedicatory/vow language directed to a deity with cultic vocabulary (nunax) makes votive more specific than plain dedicatory or ownership.",ownership,high,"Following the decision tree, the inscription lacks a verb of giving (like tur- or mulu-) or a dedicatory formula, bypassing the dedicatory branch. It contains the classic possessive 'mi' + genitive formula ('[cav]aθas mi') on a portable object (a skyphos), which firmly places it in the ownership class per Step 5 and the tie-breaking rules.",ownership,medium,"The inscription is on a portable vessel (skyphos) and features the possessive 'mi' + genitive formula ('[cav]aθas mi seχis', 'I am [the cup] of Cavatha, the daughter') along with a protective prohibition ('ein menpe kape', 'do not take me'). Lacking a verb of giving or dedication (such as tur- or mulu-), it bypasses the dedicatory/votive branches in the decision tree and is classified as ownership of a portable object.",,
ETP 224,mi l[ . . . . . ]aruniθla,mi l[ . . . . . ]aruniθla,,ownership,medium,unsure,low,"The text is a heavily fragmentary 'mi' formula followed by a genitive ending (-la), which resembles an ownership possessive, but the intervening lacuna obscures the personal name(s) and any potential verb or kinship formula. With intact-token ratio well below 0.5 and no discriminating verb or context, the visible portion does not allow a confident branch selection under the decision tree, so the row routes to adjudication.",ownership,medium,"The text consists of the pronoun 'mi' followed by a personal name ending in the genitive suffix '-la'. Without a verb of giving or established sepulchral findspot metadata to trigger earlier branches, the inscription falls directly into branch 5 of the decision tree as an ownership formula.",unsure,low,"The inscription is highly fragmentary with a substantial central lacuna ('l[ . . . . . ]') and lacks findspot or object metadata. While the combination of 'mi' and the genitive/possessive name 'aruniθla' strongly suggests an ownership formula (Step 5), the missing characters could contain a verb or kinship term, and without context we cannot distinguish between ownership and a funerary function.",,
ETP 247,mi : σuris : cavaθas,mi σuris cavaθas,,ownership,medium,unsure,medium,"The text 'mi σuris cavaθas' uses the 'mi' formula with genitive forms, which by decision-tree step 5 would suggest ownership; however, 'suris' and 'cavaθas' are plausibly theonymic/epithet forms (cf. Suri/Cavatha, chthonic deities), which could indicate a dedicatory or votive context rather than a private personal name. Without findspot or object metadata to disambiguate a deity-recipient from a personal owner, and since no verb of giving is present, the reading is ambiguous and routed to adjudication.",unsure,high,"The text features the speaking-object pronoun 'mi' followed by the genitives 'σuris cavaθas', which are recognizable as the Etruscan deities Śuri and Cavatha. Because there is no find-context provided and the text lacks an explicit verb of giving or ex-voto formula, it bypasses branches 2 and 3, and fails branch 5's strict requirement for a 'personal name', leaving it irreducibly ambiguous between a votive/dedicatory offering and ownership without further archaeological evidence.",ownership,high,"The inscription features the pronoun 'mi' ('I am') followed by two names in the genitive ('σuris' and 'cavaθas', referring to the deities Śuri and Cavatha), meaning 'I belong to Śuri and Cavatha'. Following the decision tree, the absence of a verb of giving or dedicatory formula bypasses steps 2-4, and the 'mi + genitive' construction triggers step 5, classifying it as ownership.",,
